rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
9,9,1,OLD,19869057,영웅본색,1987-05-23,777199,0.9,-778201,-50,162117585,104,-94,-47.5,23492,28,29,2024-04-08
10,10,0,NEW,20233271,땅에 쓰는 시,2024-04-17,500000,0.6,500000,100,5256000,92,92,100,740,1,1,2024-04-08
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,74509838,63.9,13513668,22.2,2287077864,7672,1399,22.3,220806,391,659,2024-04-09
2,2,0,OLD,20235838,악은 존재하지 않는다,2024-03-27,7053017,6.0,441539,6.7,302577236,739,30,4.2,30413,100,123,2024-04-09
3,3,2,OLD,20236456,라스트 썸머,2024-04-03,5045500,4.3,2540600,101.4,30071200,615,313,103.6,3551,30,34,2024-04-09
4,4,-1,OLD,20235841,키메라,2024-04-03,5541300,4.8,2388700,75.8,56818769,514,166,47.7,5670,43,58,2024-04-09
5,5,1,OLD,20234619,로봇 드림,2024-03-13,4874039,4.2,2260539,86.5,299192054,474,194,69.3,30316,39,47,2024-04-09
6,6,-2,OLD,20173226,패왕별희 디 오리지널,2017-03-30,3722854,3.2,1343837,56.5,1331742958,472,163,52.8,145692,66,71,2024-04-09
7,7,0,OLD,20248513,바람의 세월,2024-04-03,2698900,2.3,799522,42.1,42483695,330,110,50,4991,42,47,2024-04-09
8,8,0,NEW,19618003,왕중왕, ,554000,0.5,554000,100,23331500,277,277,100,11433,1,3,2024-04-09
9,9,1,OLD,20233271,땅에 쓰는 시,2024-04-17,2223000,1.9,1723000,344.6,7479000,247,155,168.5,987,1,1,2024-04-09
10,10,-1,OLD,19869057,영웅본색,1987-05-23,1092439,0.9,315240,40.6,163210024,150,46,44.2,23642,31,32,2024-04-09
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,364066322,81.7,289556484,388.6,2651144186,36698,29026,378.3,257504,440,715,2024-04-10
2,2,0,NEW,20218333,꽃다발 같은 사랑을 했다,2021-07-14,22791050,5.1,22791050,100,401561916,2769,2769,100,42709,115,130,2024-04-10
3,3,-1,OLD,20235838,악은 존재하지 않는다,2024-03-27,15534200,3.5,8481183,120.2,318111436,1584,845,114.3,31997,49,57,2024-04-10
4,4,1,OLD,20234619,로봇 드림,2024-03-13,12067139,2.7,7193100,147.6,311259193,1211,737,155.5,31527,39,43,2024-04-10
5,5,-1,OLD,20235841,키메라,2024-04-03,7927200,1.8,2385900,43.1,64745969,838,324,63,6508,35,41,2024-04-10
6,6,1,OLD,20248513,바람의 세월,2024-04-03,5873500,1.3,3174600,117.6,48357195,707,377,114.2,5698,23,23,2024-04-10
7,7,0,NEW,20236181,은하수,2024-04-10,5418200,1.2,5418200,100,16001200,568,568,100,1633,49,54,2024-04-10
8,8,0,OLD,19618003,왕중왕, ,582000,0.1,28000,5.1,23913500,286,9,3.2,11719,1,3,2024-04-10
9,9,-3,OLD,20173226,패왕별희 디 오리지널,2017-03-30,1913639,0.4,-1809215,-48.6,1333656597,233,-239,-50.6,145925,15,15,2024-04-10
10,10,3,OLD,20234730,추락의 해부,2024-01-31,1719000,0.4,509500,42.1,1000559710,183,56,44.1,101566,10,11,2024-04-10
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,66068870,60.0,-297997452,-81.9,2717213056,6752,-29946,-81.6,264256,416,703,2024-04-11
2,2,0,OLD,20218333,꽃다발 같은 사랑을 했다,2021-07-14,9762000,8.9,-13029050,-57.2,411323916,1284,-1485,-53.6,43993,117,193,2024-04-11
3,3,1,OLD,20234619,로봇 드림,2024-03-13,7343677,6.7,-4723462,-39.1,318602870,813,-398,-32.9,32340,66,76,2024-04-11
4,4,2,OLD,20248513,바람의 세월,2024-04-03,6532300,5.9,658800,11.2,54889495,641,-66,-9.3,6339,24,25,2024-04-11
5,5,-2,OLD,20235838,악은 존재하지 않는다,2024-03-27,4588900,4.2,-10945300,-70.5,322700336,509,-1075,-67.9,32506,50,58,2024-04-11
6,6,-1,OLD,20235841,키메라,2024-04-03,2616300,2.4,-5310900,-67,67362269,294,-544,-64.9,6802,32,35,2024-04-11
7,7,7,OLD,20231415,소풍,2024-02-07,1752000,1.6,1404500,404.2,3059544443,247,192,349.1,342749,9,9,2024-04-11
8,8,0,NEW,20060330,녹차의 맛,2006-11-23,2034717,1.8,2034717,100,18506717,236,236,100,2627,36,44,2024-04-11
9,9,-2,OLD,20236181,은하수,2024-04-10,1661300,1.5,-3756900,-69.3,17662500,175,-393,-69.2,1808,31,32,2024-04-11
10,10,0,NEW,20236776,비욘드 유토피아,2024-01-31,1670500,1.5,1670500,100,162581799,165,165,100,17003,6,6,2024-04-11
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,100795928,62.7,34727058,52.6,2818008984,9902,3150,46.7,274158,476,834,2024-04-12
2,2,0,OLD,20218333,꽃다발 같은 사랑을 했다,2021-07-14,15005380,9.3,5243380,53.7,426329296,2054,770,60,46047,132,215,2024-04-12
3,3,1,OLD,20248513,바람의 세월,2024-04-03,9814700,6.1,3282400,50.2,64704195,945,304,47.4,7284,24,25,2024-04-12
4,4,1,OLD,20235838,악은 존재하지 않는다,2024-03-27,6945778,4.3,2356878,51.4,329646114,727,218,42.8,33233,47,61,2024-04-12
5,5,-2,OLD,20234619,로봇 드림,2024-03-13,5634278,3.5,-1709399,-23.3,324237148,556,-257,-31.6,32896,62,70,2024-04-12
6,6,0,NEW,20232263,모르는 이야기,2024-04-24,4543000,2.8,4543000,100,6766000,413,413,100,660,2,2,2024-04-12
7,7,-1,OLD,20235841,키메라,2024-04-03,3004500,1.9,388200,14.8,70366769,330,36,12.2,7132,32,37,2024-04-12
8,8,-1,OLD,20231415,소풍,2024-02-07,1488500,0.9,-263500,-15,3061032943,211,-36,-14.6,342960,10,10,2024-04-12
9,9,-1,OLD,20060330,녹차의 맛,2006-11-23,1593100,1.0,-441617,-21.7,20099817,166,-70,-29.7,2793,36,44,2024-04-12
10,10,0,OLD,20236776,비욘드 유토피아,2024-01-31,1669000,1.0,-1500,-0.1,164250799,155,-10,-6.1,17158,6,6,2024-04-12
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,245123320,79.4,144327392,143.2,3063132304,24138,14236,143.8,298296,512,1065,2024-04-13
2,2,0,OLD,20218333,꽃다발 같은 사랑을 했다,2021-07-14,11287630,3.7,-3717750,-24.8,437616926,1360,-694,-33.8,47407,123,157,2024-04-13
3,3,2,OLD,20234619,로봇 드림,2024-03-13,9840039,3.2,4205761,74.6,334077187,1011,455,81.8,33907,65,73,2024-04-13
4,4,-1,OLD,20248513,바람의 세월,2024-04-03,10051078,3.3,236378,2.4,74755273,1006,61,6.5,8290,26,28,2024-04-13
5,5,-1,OLD,20235838,악은 존재하지 않는다,2024-03-27,9312339,3.0,2366561,34.1,338958453,933,206,28.3,34166,56,66,2024-04-13
6,6,1,OLD,20235841,키메라,2024-04-03,4707400,1.5,1702900,56.7,75074169,478,148,44.8,7610,33,35,2024-04-13
7,7,33,OLD,20235145,기적의 시작,2024-02-22,874000,0.3,860000,6142.9,222450752,299,292,4171.4,25897,4,5,2024-04-13
8,8,0,NEW,19590006,벤허,1972-09-07,546000,0.2,546000,100,312747312,273,273,100,54424,1,2,2024-04-13
9,9,8,OLD,20234730,추락의 해부,2024-01-31,1642100,0.5,820600,99.9,1003658610,205,121,144,101928,12,12,2024-04-13
10,10,-1,OLD,20060330,녹차의 맛,2006-11-23,1704817,0.6,111717,7,21804634,192,26,15.7,2985,30,35,2024-04-13
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,236766462,79.7,-8356858,-3.4,3299898766,23295,-843,-3.5,321591,518,1057,2024-04-14
2,2,0,OLD,20218333,꽃다발 같은 사랑을 했다,2021-07-14,11411630,3.8,124000,1.1,449028556,1327,-33,-2.4,48734,127,155,2024-04-14
3,3,2,OLD,20235838,악은 존재하지 않는다,2024-03-27,9594139,3.2,281800,3,348552592,989,56,6,35155,58,69,2024-04-14
4,4,-1,OLD,20234619,로봇 드림,2024-03-13,9017153,3.0,-822886,-8.4,343094340,906,-105,-10.4,34813,57,65,2024-04-14
5,5,-1,OLD,20248513,바람의 세월,2024-04-03,9629800,3.2,-421278,-4.2,84385073,851,-155,-15.4,9141,21,23,2024-04-14
6,6,0,OLD,20235841,키메라,2024-04-03,4700900,1.6,-6500,-0.1,79775069,485,7,1.5,8095,37,41,2024-04-14
7,7,21,OLD,19820112,십계,1973-06-16,427000,0.1,373000,690.7,42591072,211,184,681.5,21651,1,2,2024-04-14
8,8,2,OLD,20060330,녹차의 맛,2006-11-23,1866339,0.6,161522,9.5,23670973,193,1,0.5,3178,28,32,2024-04-14
9,9,2,OLD,20236776,비욘드 유토피아,2024-01-31,1815000,0.6,-54000,-2.9,167934799,171,-8,-4.5,17508,5,5,2024-04-14
