rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,64991300,49.3,-96585700,-59.8,36580783379,9090,-13393,-59.6,4696415,264,471,2015-01-14
2,2,1,OLD,20140609,아메리칸 셰프,2015-01-07,19341200,14.7,-22156000,-53.4,386354829,2511,-2975,-54.2,48373,60,96,2015-01-14
3,3,1,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,9173700,7.0,-28768900,-75.8,1684918765,1337,-3875,-74.3,221805,23,36,2015-01-14
4,4,1,OLD,20143045,내일을 위한 시간,2015-01-01,6790500,5.2,-2033000,-23,218383800,888,-265,-23,26642,38,59,2015-01-14
5,5,1,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,3869600,2.9,-3415900,-46.9,4451530500,718,-430,-37.5,612708,16,16,2015-01-14
6,6,3,OLD,20141621,마미,2014-12-18,3932000,3.0,9000,0.2,391424100,507,-5,-1,49539,22,29,2015-01-14
7,7,1,OLD,20143921,나의 사적인 여자친구,2015-01-08,3629500,2.8,-1420400,-28.1,50770400,469,-187,-28.5,6407,29,47,2015-01-14
8,8,2,OLD,20141614,더 테너 리리코 스핀토,2014-12-31,2859000,2.2,-461000,-13.9,375039941,387,-52,-11.8,48526,5,5,2015-01-14
9,9,3,OLD,20143343,무드 인디고,2014-12-11,2987500,2.3,431000,16.9,351165500,374,54,16.9,43591,22,29,2015-01-14
10,10,0,NEW,19548015,돌아오지 않는 강,1971-04-27,680000,0.5,680000,100,7663858,340,340,100,5146,1,4,2015-01-14
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,67959800,50.1,2968500,4.6,36648743179,9649,559,6.1,4706064,256,450,2015-01-15
2,2,0,OLD,20140609,아메리칸 셰프,2015-01-07,20732500,15.3,1391300,7.2,407087329,2658,147,5.9,51031,59,94,2015-01-15
3,3,0,OLD,20130574,개를 훔치는 완벽한 방법,2014-12-31,7342200,5.4,-1831500,-20,1692260965,1035,-302,-22.6,222840,19,27,2015-01-15
4,4,0,NEW,20142142,이별까지 7일,2015-01-15,6783500,5.0,6783500,100,15110200,986,986,100,2030,41,72,2015-01-15
5,5,-1,OLD,20143045,내일을 위한 시간,2015-01-01,5946600,4.4,-843900,-12.4,224330400,795,-93,-10.5,27437,32,48,2015-01-15
6,6,-1,OLD,20143344,눈의 여왕 2: 트롤의 마법거울,2014-12-24,3733000,2.7,-136600,-3.5,4455263500,728,10,1.4,613436,12,12,2015-01-15
7,7,0,NEW,20149269,아이 킬드 마이 마더,2015-01-15,4486000,3.3,4486000,100,5755086,627,627,100,832,15,21,2015-01-15
8,8,-2,OLD,20141621,마미,2014-12-18,3715000,2.7,-217000,-5.5,395139100,463,-44,-8.7,50002,13,16,2015-01-15
9,9,1,OLD,19548015,돌아오지 않는 강,1971-04-27,854000,0.6,174000,25.6,8517858,427,87,25.6,5573,1,4,2015-01-15
10,10,1,OLD,20144481,타임 패러독스,2015-01-07,2209900,1.6,-61100,-2.7,621637508,281,-2,-0.7,79112,12,18,2015-01-15
1,1,0,OLD,20141111,"님아, 그 강을 건너지 마오",2014-11-27,63604700,42.8,-4355100,-6.4,36712347879,8273,-1376,-14.3,4714337,254,453,2015-01-16
