rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
9,9,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,20268121,1.6,-32017554,-61.2,50707754429,2003,-2875,-58.9,4849683,192,230,2024-01-15
10,10,0,OLD,20236557,스즈메의 문단속: 다녀왔어,2024-01-10,15853058,1.3,-31846827,-66.8,243052491,1598,-3045,-65.6,24135,165,202,2024-01-15
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,389798334,31.1,-24847095,-6,7094419326,41111,-2399,-5.5,733722,1273,4804,2024-01-16
2,2,1,OLD,20235834,위시,2024-01-03,204622861,16.3,6089570,3.1,9951183446,22170,1170,5.6,1037503,867,2509,2024-01-16
3,3,-1,OLD,20212866,서울의 봄,2023-11-22,174663400,13.9,-45785141,-20.8,124981578511,18133,-3884,-17.6,12822494,823,2060,2024-01-16
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,122687335,9.8,-13583964,-10,43524005589,13165,-1451,-9.9,4416334,842,1880,2024-01-16
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,90189426,7.2,8208440,10,1482264933,10195,919,9.9,160614,698,1421,2024-01-16
6,6,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,47727445,3.8,1073608,2.3,8047486712,4971,112,2.3,832159,421,596,2024-01-16
7,7,0,OLD,20235353,길위에 김대중,2024-01-10,33733173,2.7,4682849,16.1,628165674,3538,397,12.6,65322,406,545,2024-01-16
8,8,0,OLD,20234114,괴물,2023-11-29,22857592,1.8,1392098,6.5,4538809705,2266,92,4.2,461463,176,242,2024-01-16
9,9,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,21488132,1.7,1220011,6,50729242561,2140,137,6.8,4851823,203,242,2024-01-16
10,10,0,NEW,20206946,시민덕희,2024-01-24,17820000,1.4,17820000,100,54828000,1980,1980,100,6092,6,6,2024-01-16
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,394905681,28.0,5107347,1.3,7489325007,41458,347,0.8,775180,1253,4501,2024-01-17
