Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Type,release_date_parsed,Korea,Title_Korea,Type_New
Gate // 게이트,No,2018-08-10,1100000.0,879.0,5.6,"Animation, Action, Adventure","doctor,patient,psychiatrist,actor,career","A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",Movie,2018-08-10,1,게이트,Movie
Hello Carbot 5: Season 12 // 헬로카봇 12,No,2020-12-16,1000000.0,2407.0,5.6,"Comedy, Drama, Romance","3d,3 dimensional,goose,duck,pig","An intimate look into the life of icon Quincy Jones. A unique force in music and popular culture for 70 years, Jones has transcended racial and cultural boundaries; his story is inextricably woven into the fabric of America.",TV Show,2020-12-16,1,헬로카봇 12,Movie
KONGSUNI the movie: TOY WORLD ADVENTURE // 극장판 콩순이 : 장난감나라 대모험,No,2019-08-21,800000.0,1006.0,5.6,"Drama, Fantasy, Romance","voice over narration,log raft,wild river,whitewater kayaking,women in sports","To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples&apos; getaway. But it comes with all kinds of surprises.",Movie,2019-08-21,1,극장판 콩순이 : 장난감나라 대모험,Movie
"The Fisherman and the City: Season 4 // 나만 믿고 따라와, 도시어부: 시즌4",No,2016-03-04,400000.0,1831.0,5.6,"Drama, Romance","dead body in a water tank,mental illness,los angeles california,bipolar disorder,hotel","Christmas morning, and two puppies (and their children) are up early. The pups are frightened by a large stuffed dog, a train set, a crying doll, a toy tank, and other toys. By the time the parents are up, the pups and the other t...",TV Show,2016-03-04,1,"나만 믿고 따라와, 도시어부: 시즌4",TV Show
The Lies Within: Season 1 // 모두의 거짓말: 시즌 1,Yes,2017-04-24,400000.0,30.0,5.6,"Drama, Thriller","deception,joke,smart,love,comedian",A comedy variety special featuring LGBTQ+ comedy icons and emerging voices.,TV Show,2017-04-24,1,모두의 거짓말: 시즌 1,TV Show
Hitman: Agent Jun // 히트맨,No,2018-07-06,400000.0,3872.0,5.6,"Documentary, Biography, Sport","christmas,makeover,home makeover reality tv","On their first ever Freezie Day, Waffles and Mochi learn that holiday traditions aren&apos;t just about food. They&apos;re about making memories with those you love.",Movie,2018-07-06,1,히트맨,Movie
Steel Rain2: Summit // 강철비2: 정상회담,No,2020-07-08,400000.0,603.0,5.6,Documentary,anime animation,"A summer in rural O‘ahu takes an exciting turn for two Brooklyn-raised siblings when a journal pointing to long-lost treasure sets them on an epic adventure with new friends, and leads them to reconnect with their Hawaiian heritage.",Movie,2020-07-08,1,강철비2: 정상회담,Movie
Bring Me Home // 나를 찾아줘,No,0,0.0,30.0,5.6,"Musical, Short","big brother,mind control,girl,low budget sci fi movie,trapped in space",High-stakes exploits turn deadly - and shake a global church to its core - in the extraordinary true crime story.,Movie,,1,나를 찾아줘,Movie
Confession // 좋은 친구들,No,0,0.0,46070.0,5.6,"Comedy, Drama","tv special,stand up comedy,stand up comedy special","A man returns home after years to find his brother&apos;s child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths.",Movie,,1,좋은 친구들,Movie
My Tutor Friend // 동갑내기 과외하기,No,0,0.0,5251.0,5.6,"Documentary, Crime, History",0,"Two unlikely friends, the loud and fearless Bean, and the thoughtful and quiet Ivy. Yet the two discover that an adventure can reveal that even seemingly different people can become the best of friends.",Movie,,1,동갑내기 과외하기,Movie
