movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
20199448,어린 의뢰인,114,2019,20190522,개봉,장편,한국,드라마,장규성,"이동휘, 유선, 최명빈, 이주원, 한대훈, 한동희, 부진설, 고수희, 서정연, 원현준, 이나라, 정준원, 이현균, 이지훈, 이로운, 이봄, 정희태, 김보연, 조덕현, 신미림, 정선희, 양희원, 장정연, 박미리, 강지현, 고경희, 도한나, 김가은, 서병철, 김나경, 박준희, 손광익, 배진아, 김명신, 백승철, 신영주, 변주현, 신정섭, 신혜정, 김보경, 오규택, 오정우, 오준호, 옥주리, 최민정, 장규성, 이주열, 허승, 이준형, 장한나, 제승현, 김호정, 전정일, 김종선, 정규연, 김시영, 김시윤, 조태일, 정민석, 고유림, 구순모, 권방현, 길상우, 이동영, 이동욱, 이미영, 임용순, 김주황, 이헌주, 조은혁, 정시후, 도건후, 주소망, 나주호, 주은옥, 남종수, 원현준, 한희정, 김태윤, 유이, 민정기, 차준희, 민효경, 윤성욱, 신나라, 정준원, 정지웅, 신아정, 안귀령, 이황의, 박지서, 전은미, 전하늘, 백연재, 백우재, 오효진, 하윤서, 한갑수, 한예성, 김성준, 조셉",2D,디지털,12세이상관람가
20197147,어글리 돌,87,2019,20190501,개봉,장편,미국,애니메이션,캘리 애스버리,"켈리 클락슨, 닉 조나스, 자넬 모네, 핏불","2D, 2D","디지털, 디지털 더빙",전체관람가
20197503,서스페리아,152,2018,20190516,개봉,장편,이탈리아,공포(호러),루카 구아다니노,"다코타 존슨, 틸다 스윈튼, 미아 고스, 클로이 모레츠",2D,디지털,청소년관람불가
20184082,걸캅스,107,2018,20190509,개봉,장편,한국,코미디,정다원,"라미란, 이성경, 윤상현, 강문봉, 강성하, 이윤희, 최수영, 염혜란, 위하준, 주우재, 강홍석, 김도완, 한수현, 조병규, 위하준, 안창환, 전석호, 성동일, 이레, 이정민, 신현숙, 조혜주, 배유람, 임현성, 안재홍, 박소은, 서석규, 서성현, 김광섭, 옥자연, 소희정, 백승환, 김미지, 김민경, 안대웅, 안성봉, 여이레, 오상준, 오상준, 오성현, 오세환, 김성균, 오하늬, 김성종, 김송이, 최예림, 이성규, 김정교, 조미라, 조서진, 김정현, 전소영, 김승아, 이진성, 황필규, 황필성, 김신우, 최준영, 이가희, 김준, 강신하, 김지나, 이기원, 김지유, 이승훈, 최혜진, 김한상, 김병남, 하정우, 이영아, 김세진, 김태준, 이확광, 임예은, 한수연, 조예진, 김용진, 김춘심, 김해정, 류대산, 나대남, 노승은, 정두원, 이은숙, 정세인, 김철환, 김찬희, 신한숙, 이도연, 최병윤, 김진욱, 이문빈, 심희진, 이선정, 이의수, 여시현, 여은지, 여은지, 임현철, 오성미, 설창희, 하연희, 송지혁, 한건희, 임범용, 황이현, 박두희, 허단비, 곽민석, 이금용, 윤현길","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
20199736,프렌즈: 둥지탈출,87,2019,20190501,개봉,장편,독일,애니메이션,크리스찬 하스,,"2D, 2D","디지털, 디지털 더빙",전체관람가
20060347,판의 미로 - 오필리아와 세 개의 열쇠,118,2006,20061130,개봉,장편,스페인,드라마,길예르모 델 토로,"이바나 바쿠에로, 더그 존스, 세르지 로페즈","필름, 2D","필름, 디지털",15세이상관람가
20187981,배심원들,113,2019,20190515,개봉,장편,한국,드라마,홍승완,"문소리, 박형식, 백수장, 김미경, 윤경호, 서정연, 조한철, 조수향, 권해효, 김홍파, 태인호, 이해운, 서진원, 이영진, 최영우, 서현우, 이용이, 심달기, 유순웅, 김학선, 고서희, 김선영, 이규형, 류덕환, 정도원, 염동헌, 이서준, 구윤회, 한연희, 임형택, 김무령, 이향란, 우가은, 유나, 문창준, 서영지, 노지원, 도준석, 이한석, 천찬양, 이효순, 이주윤, 박건용, 정다온, 민혜선, 박재완, 서영주, 서정암, 김나경, 김동혁, 김명진, 신치영, 양재훈, 김상균, 김상준, 김상훈, 이정훈, 이주한, 최영우, 이지호, 이승주, 김지한, 최현주, 김지호, 이현지, 강진수",2D,디지털,12세이상관람가
20198598,명탐정 피카츄,104,2019,20190509,개봉,장편,미국,액션,롭 레터맨,"라이언 레이놀즈, 저스티스 스미스, 캐서린 뉴튼, 수키 워터하우스, 빌 나이, 와타나베 켄","2D, 2D, 3D, 4D, IMAX, IMAX, ScreenX","디지털, 디지털 더빙, 3D 디지털, 4D, IMAX, IMAX 3D, ScreenX","전체관람가, 전체관람가"
20190923,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,70,2019,20190502,개봉,장편,일본,애니메이션,히시다 마사카즈,,2D,디지털,12세이상관람가
20188941,악인전,109,2019,20190515,개봉,장편,한국,범죄,이원태,"마동석, 김무열, 김성규, 강문봉, 문동혁, 오희준, 유승목, 유승목, 최민철, 우강민, 우상전, 김윤성, 허동원, 전배수, 김규리, 차순배, 류태호, 유재명, 유재명, 민무제, 문순주, 김근영, 이서환, 신희철, 남승화, 박보경, 공민규, 공성하, 곽최산, 권혁, 김결, 서문호, 김동민, 배경민, 김명희, 백수진, 백승민, 신영선, 안성봉, 이정우, 신하준, 김민준, 김보경, 오상준, 오상준, 오현석, 윤영균, 임효진, 김이현, 최선영, 정지훈, 이상희, 김재영, 김건, 김정석, 이성훈, 류성현, 이소진, 황보정일, 이육헌, 황인성, 윤현주, 정미경, 강수빈, 강영택, 김준영, 권다미, 이승현, 이승훈, 권정우, 권혁일, 이도군, 김진옥, 이동기, 표성수, 이동욱, 이동준, 이영아, 한상철, 조승국, 한지아, 우원규, 김우림, 유용국, 이은샘, 민경수, 정유선, 정여루, 신기록, 이재은, 안민하, 이성일, 박은보, 이유선, 배진호, 양지수, 최현경, 배민준, 염미선, 전시현, 장선정, 성주원, 안영석","2D, 2D","디지털, 디지털 가치봄",청소년관람불가
20185384,호텔 뭄바이,122,2018,20190508,개봉,장편,호주,스릴러,앤소니 마라스,"데브 파텔, 아미 해머, 나자닌 보니아디, 제이슨 아이삭스, 아누팜 커",2D,디지털,15세이상관람가
20199623,고양이 여행 리포트,119,2018,20190509,개봉,장편,일본,드라마,미키 코이치로,"후쿠시 소타, 타카하타 미츠키, 다케우치 유코",2D,디지털,전체관람가
20199923,라플라스의 마녀,115,2018,20190509,개봉,장편,일본,미스터리,미이케 다카시,"사쿠라이 쇼, 히로세 스즈, 후쿠시 소타, 타마키 히로시, 릴리 프랭키",2D,디지털,12세이상관람가
20199949,벤 이즈 백,103,2018,20190509,개봉,장편,미국,드라마,피터 헤지스,"줄리아 로버츠, 루카스 헤지스, 캐서린 뉴튼, 코트니 B. 반스",2D,디지털,15세이상관람가
20186651,뷰티풀 보이스,96,2017,20190522,개봉,장편,한국,코미디,김선웅,"박호산, 이이경, 문지인, 김정팔, 배유람, 연제욱, 양조아, 배다빈, 이승민, 정보람, 차보경, 최유솔, 김양배, 희웅, 정성완, 곽도영, 고민석, 고동하, 이병민, 김인, 이주원, 홍범석, 주예림",2D,디지털,전체관람가
20198597,교회오빠,84,2019,20190516,개봉,장편,한국,다큐멘터리,이호경,"이관희, 오은주, 이소연, 이소연, 김양진, 신승윤 목사, 박준오, 안효빈, 김석진, 김은숙, 김희철, 이진희, 황인경, 권동진, 김관옥, 김문숙, 김삼화, 김양재, 김지숙, 김창복, 이현희, 주성길, 유정임, 정정희, 이봉순, 최원준, 오은천, 최한중, 전제충, 오명기, 백승혁, 백용현, 석미진, 황성주, 허현숙, 이상윤, 이승민",2D,디지털,전체관람가
20190270,나의 히어로 아카데미아 더 무비: 두 명의 히어로,95,2018,20190516,개봉,장편,일본,애니메이션,나가사키 켄지,"야마시타 다이키, 오카모토 노부히코, 미야케 켄타, 시다 미라이",2D,디지털,전체관람가
