rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date,showTm,prdtYear,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
6,6,0,OLD,20212866,서울의 봄,2023-11-22,77919541,2.0,-5799893,-6.9,127576446518,8521,-722,-7.8,13089079,483,663,2024-02-04,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
7,7,0,OLD,20246964,정글번치: 월드투어,2024-01-31,57943700,1.5,-25600,0.0,164238900,7043,-184,-2.5,20714,193,333,2024-02-04,88,2023,개봉,장편,프랑스,애니메이션,,,"2D, 2D","디지털, 디지털 더빙",전체관람가
8,8,1,OLD,20235583,인투 더 월드,2024-01-10,60800438,1.5,7176908,13.4,3026494116,6811,862,14.5,332104,333,422,2024-02-04,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
9,9,-1,OLD,20234730,추락의 해부,2024-01-31,63301289,1.6,-3167409,-4.8,308423978,6293,-65,-1.0,31539,232,306,2024-02-04,151,2023,개봉,장편,프랑스,드라마,쥐스틴 트리에,"산드라 휠러, 스완 아를로, 밀로 마차도 그라너",2D,디지털,15세이상관람가
10,10,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,44609089,1.1,4956193,12.5,8939210322,4664,577,14.1,924114,208,244,2024-02-04,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
1,1,0,OLD,20236180,웡카,2024-01-31,634615281,48.7,-1454829715,-69.6,8225752891,64984,-143631,-68.8,851704,1575,6504,2024-02-05,116,2023,개봉,장편,미국,판타지,폴 킹,"티모시 샬라메, 칼라 레인, 올리비아 콜맨, 톰 데이비스, 휴 그랜트, 샐리 호킨스","2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D, IMAX, ScreenX, DOLBYCINEMA",전체관람가
2,2,0,OLD,20206946,시민덕희,2024-01-24,293037235,22.5,-590379998,-66.8,8963634278,31503,-61036,-66.0,962471,963,3377,2024-02-05,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
3,3,1,OLD,20247074,건국전쟁,2024-02-01,111100451,8.5,-17368677,-13.5,473566685,11687,-679,-5.5,47338,174,319,2024-02-05,100,2023,개봉,장편,한국,다큐멘터리,김덕영,,2D,디지털,12세이상관람가
4,4,-1,OLD,20235253,외계+인 2부,2024-01-10,51524568,4.0,-136450146,-72.6,13615802222,5504,-13805,-71.5,1411748,581,1132,2024-02-05,122,2023,개봉,장편,한국,기타,최동훈,"류준열, 김태리, 김우빈, 이하늬, 염정아, 조우진, 김의성, 진선규, 신정근, 윤경호, 이시훈, 최미금, 위지웅","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",12세이상관람가
5,5,1,OLD,20212866,서울의 봄,2023-11-22,37531104,2.9,-40388437,-51.8,127613977622,4167,-4354,-51.1,13093246,474,657,2024-02-05,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
6,6,3,OLD,20234730,추락의 해부,2024-01-31,29825324,2.3,-33475965,-52.9,338249302,3153,-3140,-49.9,34692,222,308,2024-02-05,151,2023,개봉,장편,프랑스,드라마,쥐스틴 트리에,"산드라 휠러, 스완 아를로, 밀로 마차도 그라너",2D,디지털,15세이상관람가
7,7,-2,OLD,20235834,위시,2024-01-03,22136480,1.7,-70993910,-76.2,13243693360,2506,-7411,-74.7,1388360,372,482,2024-02-05,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
8,8,0,OLD,20235583,인투 더 월드,2024-01-10,9741878,0.7,-51058560,-84.0,3036235994,1281,-5530,-81.2,333385,161,181,2024-02-05,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
9,9,2,OLD,20234114,괴물,2023-11-29,11179107,0.9,-28711526,-72.0,4982389060,1147,-2559,-69.1,505344,76,95,2024-02-05,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
10,10,-3,OLD,20246964,정글번치: 월드투어,2024-01-31,7448500,0.6,-50495200,-87.1,171687400,909,-6134,-87.1,21623,130,173,2024-02-05,88,2023,개봉,장편,프랑스,애니메이션,,,"2D, 2D","디지털, 디지털 더빙",전체관람가
1,1,0,OLD,20236180,웡카,2024-01-31,606823563,46.4,-27791718,-4.4,8832576454,62799,-2185,-3.4,914503,1592,6375,2024-02-06,116,2023,개봉,장편,미국,판타지,폴 킹,"티모시 샬라메, 칼라 레인, 올리비아 콜맨, 톰 데이비스, 휴 그랜트, 샐리 호킨스","2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D, IMAX, ScreenX, DOLBYCINEMA",전체관람가
2,2,0,OLD,20206946,시민덕희,2024-01-24,230740520,17.6,-62296715,-21.3,9194374798,25307,-6196,-19.7,987778,974,3286,2024-02-06,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
3,3,0,OLD,20247074,건국전쟁,2024-02-01,151345633,11.6,40245182,36.2,624912318,16093,4406,37.7,63431,215,394,2024-02-06,100,2023,개봉,장편,한국,다큐멘터리,김덕영,,2D,디지털,12세이상관람가
4,4,0,OLD,20235253,외계+인 2부,2024-01-10,48890109,3.7,-2634459,-5.1,13664692331,5282,-222,-4.0,1417030,582,1082,2024-02-06,122,2023,개봉,장편,한국,기타,최동훈,"류준열, 김태리, 김우빈, 이하늬, 염정아, 조우진, 김의성, 진선규, 신정근, 윤경호, 이시훈, 최미금, 위지웅","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",12세이상관람가
5,5,0,OLD,20212866,서울의 봄,2023-11-22,34169770,2.6,-3361334,-9.0,127648147392,3892,-275,-6.6,13097138,462,624,2024-02-06,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
6,6,0,OLD,20234730,추락의 해부,2024-01-31,31969956,2.4,2144632,7.2,370219258,3419,266,8.4,38111,224,314,2024-02-06,151,2023,개봉,장편,프랑스,드라마,쥐스틴 트리에,"산드라 휠러, 스완 아를로, 밀로 마차도 그라너",2D,디지털,15세이상관람가
7,7,0,OLD,20235834,위시,2024-01-03,24284950,1.9,2148470,9.7,13267978310,2731,225,9.0,1391091,372,503,2024-02-06,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
8,8,4,OLD,20236776,비욘드 유토피아,2024-01-31,17403439,1.3,9086861,109.3,99539504,2032,1168,135.2,10346,151,249,2024-02-06,115,2023,개봉,장편,미국,다큐멘터리,매들린 개빈,,2D,디지털,12세이상관람가
9,9,0,NEW,20211477,데드맨,2024-02-07,17667000,1.3,17667000,100.0,37095000,1879,1879,100.0,3777,7,7,2024-02-06,108,2023,개봉,장편,한국,범죄,하준원,"조진웅, 김희애, 이수경, 권영주",2D,디지털,15세이상관람가
10,10,-2,OLD,20235583,인투 더 월드,2024-01-10,12293238,0.9,2551360,26.2,3048529232,1553,272,21.2,334938,172,198,2024-02-06,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
1,1,0,OLD,20236180,웡카,2024-01-31,522291354,29.8,-84532209,-13.9,9354867808,55709,-7090,-11.3,970212,961,3245,2024-02-07,116,2023,개봉,장편,미국,판타지,폴 킹,"티모시 샬라메, 칼라 레인, 올리비아 콜맨, 톰 데이비스, 휴 그랜트, 샐리 호킨스","2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D, IMAX, ScreenX, DOLBYCINEMA",전체관람가
2,2,7,OLD,20211477,데드맨,2024-02-07,251304150,14.3,233637150,1322.4,288399150,28097,26218,1395.3,31874,729,2241,2024-02-07,108,2023,개봉,장편,한국,범죄,하준원,"조진웅, 김희애, 이수경, 권영주",2D,디지털,15세이상관람가
3,3,29,OLD,20231415,소풍,2024-02-07,190033507,10.8,188978507,17912.7,208847507,21508,21358,14238.7,23617,670,1732,2024-02-07,113,2024,개봉,장편,한국,드라마,김용균,"나문희, 김영옥, 박근형, 류승수, 이항나, 공상아, 임지규, 최선자, 이용이, 한태일, 곽자형, 정혜자, 나호숙, 차희, 신예서, 엄주연, 이주미, 황효은, 나은미, 허종오, 장재용, 조형우, 성병숙",2D,디지털,12세이상관람가
4,4,19,OLD,20212668,도그데이즈,2024-02-07,192488610,11.0,188861610,5207.1,403379138,20706,20303,5038.0,43418,847,2712,2024-02-07,119,2023,개봉,장편,한국,드라마,김덕민,"윤여정, 유해진, 김윤진, 정성화, 김서형, 다니엘 헤니, 이현우, 탕준상, 윤채나, 김고은",2D,디지털,12세이상관람가
5,5,0,NEW,20234581,아가일,2024-02-07,161007055,9.2,161007055,100.0,189314055,15459,15459,100.0,17878,824,2499,2024-02-07,138,2023,개봉,장편,미국,액션,매튜 본,"헨리 카빌, 브라이스 달라스 하워드, 샘 록웰, 브라이언 크랜스톤, 캐서린 오하라, 두아 리파, 아리아나 데보스, 존 시나, 사무엘 L. 잭슨","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
6,6,-4,OLD,20206946,시민덕희,2024-01-24,140825508,8.0,-89915012,-39.0,9335200306,15046,-10261,-40.5,1002824,696,1642,2024-02-07,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
7,7,-4,OLD,20247074,건국전쟁,2024-02-01,120752094,6.9,-30593539,-20.2,745664412,12921,-3172,-19.7,76352,224,372,2024-02-07,100,2023,개봉,장편,한국,다큐멘터리,김덕영,,2D,디지털,12세이상관람가
8,8,0,NEW,20246966,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,37758284,2.2,37758284,100.0,75349084,4693,4693,100.0,8375,416,499,2024-02-07,83,2023,개봉,장편,미국,애니메이션,,"장예나, 전태열, 이희승(엔하이픈), 박종성(엔하이픈), 심재윤(엔하이픈), 박성훈(엔하이픈, 김선우(엔하이픈), 양정원(엔하이픈), 니시무라 리키(엔하이픈), 김보민, 이채린(CL), 정재헌, 김보나, 김은아, 윤은서, 이상호",2D,디지털,전체관람가
9,9,-3,OLD,20234730,추락의 해부,2024-01-31,19652985,1.1,-12316971,-38.5,389872243,2102,-1317,-38.5,40213,104,142,2024-02-07,151,2023,개봉,장편,프랑스,드라마,쥐스틴 트리에,"산드라 휠러, 스완 아를로, 밀로 마차도 그라너",2D,디지털,15세이상관람가
10,10,35,OLD,20226638,아네모네,2024-02-07,11260339,0.6,10532339,1446.7,15228339,1318,1227,1348.4,1769,57,71,2024-02-07,74,2022,개봉,장편,한국,코미디,정하용,"정이랑, 박성진, 육미라, 박혜진, 이상훈, 김건하, 테리스 브라운, 이유준, 김영빈, 이주미",2D,디지털,15세이상관람가
1,1,0,OLD,20236180,웡카,2024-01-31,869834663,38.9,347543309,66.5,10224702471,92735,37026,66.5,1062947,1118,3750,2024-02-08,116,2023,개봉,장편,미국,판타지,폴 킹,"티모시 샬라메, 칼라 레인, 올리비아 콜맨, 톰 데이비스, 휴 그랜트, 샐리 호킨스","2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D, IMAX, ScreenX, DOLBYCINEMA",전체관람가
2,2,4,OLD,20206946,시민덕희,2024-01-24,249830587,11.2,109005079,77.4,9585030893,26979,11933,79.3,1029803,796,1862,2024-02-08,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
3,3,-1,OLD,20211477,데드맨,2024-02-07,235112690,10.5,-16191460,-6.4,523511840,25867,-2230,-7.9,57741,741,2267,2024-02-08,108,2023,개봉,장편,한국,범죄,하준원,"조진웅, 김희애, 이수경, 권영주",2D,디지털,15세이상관람가
4,4,0,OLD,20212668,도그데이즈,2024-02-07,204634732,9.2,12146122,6.3,608013870,22095,1389,6.7,65513,843,2769,2024-02-08,119,2023,개봉,장편,한국,드라마,김덕민,"윤여정, 유해진, 김윤진, 정성화, 김서형, 다니엘 헤니, 이현우, 탕준상, 윤채나, 김고은",2D,디지털,12세이상관람가
5,5,2,OLD,20247074,건국전쟁,2024-02-01,162331319,7.3,41579225,34.4,907995731,17157,4236,32.8,93509,300,497,2024-02-08,100,2023,개봉,장편,한국,다큐멘터리,김덕영,,2D,디지털,12세이상관람가
6,6,-1,OLD,20234581,아가일,2024-02-07,171728969,7.7,10721914,6.7,361043024,17012,1553,10.0,34890,841,2353,2024-02-08,138,2023,개봉,장편,미국,액션,매튜 본,"헨리 카빌, 브라이스 달라스 하워드, 샘 록웰, 브라이언 크랜스톤, 캐서린 오하라, 두아 리파, 아리아나 데보스, 존 시나, 사무엘 L. 잭슨","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
7,7,-4,OLD,20231415,소풍,2024-02-07,128948849,5.8,-61084658,-32.1,337796356,14589,-6919,-32.2,38206,676,1729,2024-02-08,113,2024,개봉,장편,한국,드라마,김용균,"나문희, 김영옥, 박근형, 류승수, 이항나, 공상아, 임지규, 최선자, 이용이, 한태일, 곽자형, 정혜자, 나호숙, 차희, 신예서, 엄주연, 이주미, 황효은, 나은미, 허종오, 장재용, 조형우, 성병숙",2D,디지털,12세이상관람가
8,8,0,OLD,20246966,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,34402752,1.5,-3355532,-8.9,109751836,4217,-476,-10.1,12592,402,480,2024-02-08,83,2023,개봉,장편,미국,애니메이션,,"장예나, 전태열, 이희승(엔하이픈), 박종성(엔하이픈), 심재윤(엔하이픈), 박성훈(엔하이픈, 김선우(엔하이픈), 양정원(엔하이픈), 니시무라 리키(엔하이픈), 김보민, 이채린(CL), 정재헌, 김보나, 김은아, 윤은서, 이상호",2D,디지털,전체관람가
9,9,0,OLD,20234730,추락의 해부,2024-01-31,32002521,1.4,12349536,62.8,421874764,3335,1233,58.7,43548,117,159,2024-02-08,151,2023,개봉,장편,프랑스,드라마,쥐스틴 트리에,"산드라 휠러, 스완 아를로, 밀로 마차도 그라너",2D,디지털,15세이상관람가
10,10,1,OLD,20234114,괴물,2023-11-29,14616273,0.7,4902956,50.5,5019114279,1488,494,49.7,509109,70,88,2024-02-08,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
1,1,0,OLD,20236180,웡카,2024-01-31,1498366997,35.4,628532334,72.3,11723069468,152517,59782,64.5,1215464,1359,4825,2024-02-09,116,2023,개봉,장편,미국,판타지,폴 킹,"티모시 샬라메, 칼라 레인, 올리비아 콜맨, 톰 데이비스, 휴 그랜트, 샐리 호킨스","2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D, IMAX, ScreenX, DOLBYCINEMA",전체관람가
2,2,0,OLD,20206946,시민덕희,2024-01-24,726492476,17.2,476661889,190.8,10311523369,74694,47715,176.9,1104497,925,2309,2024-02-09,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
3,3,1,OLD,20212668,도그데이즈,2024-02-07,382474618,9.0,177839886,86.9,990488488,39191,17096,77.4,104704,797,2650,2024-02-09,119,2023,개봉,장편,한국,드라마,김덕민,"윤여정, 유해진, 김윤진, 정성화, 김서형, 다니엘 헤니, 이현우, 탕준상, 윤채나, 김고은",2D,디지털,12세이상관람가
4,4,1,OLD,20247074,건국전쟁,2024-02-01,364372776,8.6,202041457,124.5,1272368507,36067,18910,110.2,129576,457,773,2024-02-09,100,2023,개봉,장편,한국,다큐멘터리,김덕영,,2D,디지털,12세이상관람가
5,5,-2,OLD,20211477,데드맨,2024-02-07,348474357,8.2,113361667,48.2,871986197,36012,10145,39.2,93753,800,2197,2024-02-09,108,2023,개봉,장편,한국,범죄,하준원,"조진웅, 김희애, 이수경, 권영주",2D,디지털,15세이상관람가
6,6,1,OLD,20231415,소풍,2024-02-07,208255985,4.9,79307136,61.5,546052341,22306,7717,52.9,60512,729,1676,2024-02-09,113,2024,개봉,장편,한국,드라마,김용균,"나문희, 김영옥, 박근형, 류승수, 이항나, 공상아, 임지규, 최선자, 이용이, 한태일, 곽자형, 정혜자, 나호숙, 차희, 신예서, 엄주연, 이주미, 황효은, 나은미, 허종오, 장재용, 조형우, 성병숙",2D,디지털,12세이상관람가
7,7,-1,OLD,20234581,아가일,2024-02-07,227500326,5.4,55771357,32.5,588543350,21771,4759,28.0,56661,822,1823,2024-02-09,138,2023,개봉,장편,미국,액션,매튜 본,"헨리 카빌, 브라이스 달라스 하워드, 샘 록웰, 브라이언 크랜스톤, 캐서린 오하라, 두아 리파, 아리아나 데보스, 존 시나, 사무엘 L. 잭슨","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
8,8,0,OLD,20246966,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,106733943,2.5,72331191,210.2,216485779,11729,7512,178.1,24321,578,878,2024-02-09,83,2023,개봉,장편,미국,애니메이션,,"장예나, 전태열, 이희승(엔하이픈), 박종성(엔하이픈), 심재윤(엔하이픈), 박성훈(엔하이픈, 김선우(엔하이픈), 양정원(엔하이픈), 니시무라 리키(엔하이픈), 김보민, 이채린(CL), 정재헌, 김보나, 김은아, 윤은서, 이상호",2D,디지털,전체관람가
9,9,0,NEW,20247076,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,71319500,1.7,71319500,100.0,71319500,3928,3928,100.0,3928,24,48,2024-02-09,103,2023,개봉,장편,일본,애니메이션,소토자키 하루오,,"2D, 4D, IMAX","디지털, 4D, IMAX",15세이상관람가
10,10,-1,OLD,20234730,추락의 해부,2024-01-31,39338264,0.9,7335743,22.9,461213028,3822,487,14.6,47370,122,163,2024-02-09,151,2023,개봉,장편,프랑스,드라마,쥐스틴 트리에,"산드라 휠러, 스완 아를로, 밀로 마차도 그라너",2D,디지털,15세이상관람가
1,1,0,OLD,20236180,웡카,2024-01-31,1502114078,28.5,3747081,0.3,13225183546,149632,-2885,-1.9,1365096,1412,5054,2024-02-10,116,2023,개봉,장편,미국,판타지,폴 킹,"티모시 샬라메, 칼라 레인, 올리비아 콜맨, 톰 데이비스, 휴 그랜트, 샐리 호킨스","2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D, IMAX, ScreenX, DOLBYCINEMA",전체관람가
2,2,0,OLD,20206946,시민덕희,2024-01-24,1348036009,25.6,621543533,85.6,11659559378,136776,62082,83.1,1241273,1154,2814,2024-02-10,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
3,3,0,OLD,20212668,도그데이즈,2024-02-07,551634755,10.5,169160137,44.2,1542123243,55358,16167,41.3,160062,792,2415,2024-02-10,119,2023,개봉,장편,한국,드라마,김덕민,"윤여정, 유해진, 김윤진, 정성화, 김서형, 다니엘 헤니, 이현우, 탕준상, 윤채나, 김고은",2D,디지털,12세이상관람가
4,4,0,OLD,20247074,건국전쟁,2024-02-01,512868464,9.7,148495688,40.8,1785236971,50441,14374,39.9,180017,557,993,2024-02-10,100,2023,개봉,장편,한국,다큐멘터리,김덕영,,2D,디지털,12세이상관람가
5,5,0,OLD,20211477,데드맨,2024-02-07,425074769,8.1,76600412,22.0,1297060966,42580,6568,18.2,136333,776,2011,2024-02-10,108,2023,개봉,장편,한국,범죄,하준원,"조진웅, 김희애, 이수경, 권영주",2D,디지털,15세이상관람가
6,6,0,OLD,20231415,소풍,2024-02-07,347750899,6.6,139494914,67.0,893803240,36217,13911,62.4,96729,710,1565,2024-02-10,113,2024,개봉,장편,한국,드라마,김용균,"나문희, 김영옥, 박근형, 류승수, 이항나, 공상아, 임지규, 최선자, 이용이, 한태일, 곽자형, 정혜자, 나호숙, 차희, 신예서, 엄주연, 이주미, 황효은, 나은미, 허종오, 장재용, 조형우, 성병숙",2D,디지털,12세이상관람가
7,7,0,OLD,20234581,아가일,2024-02-07,203181661,3.9,-24318665,-10.7,791725011,19207,-2564,-11.8,75868,749,1497,2024-02-10,138,2023,개봉,장편,미국,액션,매튜 본,"헨리 카빌, 브라이스 달라스 하워드, 샘 록웰, 브라이언 크랜스톤, 캐서린 오하라, 두아 리파, 아리아나 데보스, 존 시나, 사무엘 L. 잭슨","2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
8,8,0,OLD,20246966,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,61365795,1.2,-45368148,-42.5,277851574,6604,-5125,-43.7,30925,504,740,2024-02-10,83,2023,개봉,장편,미국,애니메이션,,"장예나, 전태열, 이희승(엔하이픈), 박종성(엔하이픈), 심재윤(엔하이픈), 박성훈(엔하이픈, 김선우(엔하이픈), 양정원(엔하이픈), 니시무라 리키(엔하이픈), 김보민, 이채린(CL), 정재헌, 김보나, 김은아, 윤은서, 이상호",2D,디지털,전체관람가
9,9,3,OLD,20212866,서울의 봄,2023-11-22,54178701,1.0,21119682,63.9,127753046500,5882,2254,62.1,13108624,135,161,2024-02-10,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
10,10,1,OLD,20246964,정글번치: 월드투어,2024-01-31,25782500,0.5,-6427200,-20.0,254443300,2820,-983,-25.8,31710,157,206,2024-02-10,88,2023,개봉,장편,프랑스,애니메이션,,,"2D, 2D","디지털, 디지털 더빙",전체관람가
1,1,0,OLD,20236180,웡카,2024-01-31,2174604715,34.8,672490637,44.8,15399788261,220022,70390,47.0,1585118,1440,5183,2024-02-11,116,2023,개봉,장편,미국,판타지,폴 킹,"티모시 샬라메, 칼라 레인, 올리비아 콜맨, 톰 데이비스, 휴 그랜트, 샐리 호킨스","2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D, IMAX, ScreenX, DOLBYCINEMA",전체관람가
2,2,0,OLD,20206946,시민덕희,2024-01-24,1383204530,22.1,35168521,2.6,13042763908,142172,5396,3.9,1383445,1281,3231,2024-02-11,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
3,3,1,OLD,20247074,건국전쟁,2024-02-01,613611936,9.8,100743472,19.6,2398848907,61453,11012,21.8,241470,637,1162,2024-02-11,100,2023,개봉,장편,한국,다큐멘터리,김덕영,,2D,디지털,12세이상관람가
4,4,-1,OLD,20212668,도그데이즈,2024-02-07,580189245,9.3,28554490,5.2,2122312488,58306,2948,5.3,218368,793,2316,2024-02-11,119,2023,개봉,장편,한국,드라마,김덕민,"윤여정, 유해진, 김윤진, 정성화, 김서형, 다니엘 헤니, 이현우, 탕준상, 윤채나, 김고은",2D,디지털,12세이상관람가
